Tanoo,    -885,     424,     445,Akpivem,    -912,     439,     565
Tanoo,    -885,     424,     445,Sasta,    -948,     431,     319
Tanoo,    -885,     424,     445,Yuzier,    -904,     534,     490
Lashesih,   -1033,     417,     299,Sasta,    -948,     431,     319
Lashesih,   -1033,     417,     299,Lisudeh,   -1068,     463,     358
Akpivem,    -912,     439,     565,Yuzier,    -904,     534,     490
Akpivem,    -912,     439,     565,Maspah,    -843,     409,     577
Akpivem,    -912,     439,     565,Asghatil,    -956,     434,     614
Jark,    -937,     506,     284,Sasta,    -948,     431,     319
Jark,    -937,     506,     284,Odatrik,    -989,     427,     140
Sasta,    -948,     431,     319,Hasiari,    -879,     391,     268
Zaid,    -848,     523,     571,Nirbhi,    -916,     573,     553
Zaid,    -848,     523,     571,Fovihi,    -816,     505,     512
Yuzier,    -904,     534,     490,Nirbhi,    -916,     573,     553
Nirbhi,    -916,     573,     553,Nikh,    -857,     665,     610
Nirbhi,    -916,     573,     553,Tidacha,    -967,     651,     562
Sooma,    -841,     692,     752,Chidah,    -806,     616,     798
Chidah,    -806,     616,     798,Shenela,    -696,     571,     807
Chidah,    -806,     616,     798,Onsooh,    -818,     603,     866
Shenela,    -696,     571,     807,Dooz,    -621,     488,     771
Asabona,    -888,     575,     963,Onsooh,    -818,     603,     866
Asabona,    -888,     575,     963,Irshah,    -953,     609,     895
Onsooh,    -818,     603,     866,Shamahi,    -778,     717,     879
Onsooh,    -818,     603,     866,Sendaya,    -750,     477,     952
Onsooh,    -818,     603,     866,Nazhgete,    -836,     637,     898
Shamahi,    -778,     717,     879,Ilahed,    -818,     753,     907
Shamahi,    -778,     717,     879,Kehrara,    -737,     717,     854
Sendaya,    -750,     477,     952,Kazna,    -701,     385,     967
Sendaya,    -750,     477,     952,Mifrata,    -786,     426,     945
Sendaya,    -750,     477,     952,Doril,    -236,     160,    1357
Futzchag,    -641,     413,    1011,Kazna,    -701,     385,     967
Futzchag,    -641,     413,    1011,Lilmad,    -729,     529,    1082
Futzchag,    -641,     413,    1011,Kuharah,    -744,     325,    1005
Futzchag,    -641,     413,    1011,Jayneleb,    -608,     330,    1055
Kazna,    -701,     385,     967,Kuharah,    -744,     325,    1005
Podion,    -587,     260,    1015,Jayneleb,    -608,     330,    1055
Fovihi,    -816,     505,     512,Kiereend,    -775,     511,     479
Fovihi,    -816,     505,     512,Kasrasi,    -599,     432,     416
Kiereend,    -775,     511,     479,Rashy,    -742,     510,     443
Kiereend,    -775,     511,     479,Psasa,    -722,     430,     451
Kiereend,    -775,     511,     479,Eshtah,    -712,     508,     465
Rashy,    -742,     510,     443,Ordize,    -669,     473,     416
Rashy,    -742,     510,     443,Psasa,    -722,     430,     451
Rashy,    -742,     510,     443,Eshtah,    -712,     508,     465
Ordize,    -669,     473,     416,Eshtah,    -712,     508,     465
Ordize,    -669,     473,     416,Lachailes,    -614,     395,     363
Ordize,    -669,     473,     416,Kasrasi,    -599,     432,     416
Psasa,    -722,     430,     451,Eshtah,    -712,     508,     465
